userName;score;at;content;sentimen
Sar Jonitea;4;22/05/2024 20:07;Mantap;Positif
putri febiani;5;22/05/2024 14:51;Mantap dah;Positif
Amri Wardana;5;22/05/2024 13:24;Kopinya enaaakk;Positif
Lena Miru;5;22/05/2024 12:01;Kopinya Enak bedah skali dengan kopi yg lain.;Positif
Dasmanta Putra;3;22/05/2024 11:09;adain lg promo nya dgn bayar tunai via aplikasi.;Positif
Kios Latifah;5;21/05/2024 16:07;Klo milad beneran dapet ga ya? Xixixi;Positif
radja mandala;5;21/05/2024 11:28;KOPI PALING ENAK;Positif
Ikafitr!;5;21/05/2024 08:26;Kebetulan deket banget sm kantor, dan suka lgs beli aja trus iseng kmrn pasang app nya...ternyata banyak promo dr app nya...thanks kopi kenangan, next pesen lewat app..lgs pick up aja;Positif
Riko Azrenra;5;21/05/2024 07:43;Waktu jd lbh efisien pake aplikasi;Positif
Ahmad Zulfaqor;5;20/05/2024 21:43;Mantap. Selalu ada promo;Positif
Dwi Rahmaddi;4;20/05/2024 21:17;Matap rasa yg stabil di semua tempat;Positif
Nur Mauliah;5;20/05/2024 20:51;Sangat ramah;Positif
Idham Firmansyah;5;20/05/2024 18:54;Good optional choice coffee;Positif
van jabrix;5;20/05/2024 14:19;"pegawai nya ramah"" jd kyak tmnğŸ˜(royal plaza Sby)";Positif
Raffalinafadlun16;5;20/05/2024 12:24;Sangat membantu buat yang males antriğŸ¤­ Untuk pembayaran debit kalo bisa jangan pake minimal dong tadi sy liat 35k atau 50k gtu, soalnya kalo harus VA ke shopeepay ribet juga blm lagi kena admin shopeepayğŸ˜«;Positif
Nur Rahman;5;20/05/2024 10:13;Ok, well maintained. Semoga nantinya dgn apps juga bisa pembayaran lewat cash;Positif
Muhammad Ilham;5;20/05/2024 08:12;Good;Positif
hardian mulya;5;19/05/2024 16:31;Mantep bgt ,pelayanan cepat;Positif
Dicky Syahputra;5;19/05/2024 15:30;mantap;Positif
Muchamad Zainal Fanani;5;19/05/2024 15:05;Matcha nya gk ada lawan;Positif
Wasan Bahrudin;5;19/05/2024 11:42;Sangat membantu,mempermudah pesanan dimanapun berada;Positif
anathesia saragih;5;19/05/2024 09:21;Kopi terbaikğŸ¥°;Positif
sri gurning;5;18/05/2024 17:52;Bagus, menyenangkan menggunakannya;Positif
arnaldy akbar;5;18/05/2024 17:43;Pengguna baru langsung diskon;Positif
rey synyster;5;18/05/2024 14:28;Smoga makin sukses dan berkualitas;Positif
Nina Rinata;5;18/05/2024 12:10;Bagus;Positif
Herman Beis;4;17/05/2024 17:46;Bagus pelayanannya cepat dan banyak dapat cashback nya;Positif
ifa zauniha;5;17/05/2024 14:20;TEMPATNYA ENAK, KOPINYA ENAK, SEMUANYA ENAK;Positif
Drecki Acker;5;17/05/2024 10:25;Excellent taste of coffee and experience;Positif
Dwi Haryani;5;17/05/2024 09:04;Aplikasi kopi kenangan ini sangat sangat membantu dalam pembelian kopken tiap harinya, aplikasi mudah digunakan serta banyak promo bagi pengguna aplikasi kopken ini. Tingkatkan lagi kinerja aplikasi dan promonya yaaağŸ˜Š;Positif
Tantry Liana;5;17/05/2024 08:01;Sangat memudahkan untuk memesan sampai outlet tinggal ambil;Positif
Dower Irma;5;16/05/2024 20:46;god job;Positif
Uhan Burhanudin;5;16/05/2024 20:41;Top;Positif
Ratnady Ghaneza;5;16/05/2024 16:37;Mantap;Positif
PETRUS TEDDY CHANNEL;5;16/05/2024 13:16;Ok;Positif
Yanuar Kamjo;5;16/05/2024 11:08;Perpaduan kopi, gula & susunya pas di lidah saya;Positif
Gie Lodra;5;16/05/2024 09:38;Mantup;Positif
Siti Awaluni;5;16/05/2024 09:09;Pelayanan cepat,,ramah sesuai untuk pekerja yg memburu waktu;Positif
Ryan Bianda;5;16/05/2024 07:11;Varian Kopi Mantan yang less sugar adalah Kopi terbaik Indonesia â˜•â˜•;Positif
Karnadi Dony;5;15/05/2024 12:23;ok;Positif
Maryam Luailik;5;15/05/2024 11:14;Aplikasi bagus d mudah;Positif
Pecandu Motor_id;5;15/05/2024 10:54;Kopi paling konsisten dan cepet pelayanannya Thankyou....;Positif
SEPTIAN PERMANA;5;15/05/2024 09:42;Kopi nya enak;Positif
Iin Guntarsih;5;15/05/2024 07:35;Kopi yg terkopi JD tak ada yg BS mengopi;Positif
Insan Soamole;5;15/05/2024 06:16;best lah pokoknya;Positif
Kurniawan Hoo;5;14/05/2024 23:39;Aplikasi sat set. Cepat dan memuaskan;Positif
Gombong Wiwid;5;14/05/2024 18:57;Mudah digunajan.simple;Positif
Masnilawati Tarigan;5;14/05/2024 17:21;Bagus;Positif
Jermia Kamto;5;14/05/2024 17:20;Bagus;Positif
LOREN net;5;14/05/2024 15:08;Bagus;Positif
Tesa Abygail;5;14/05/2024 13:59;Sangat memudahkan utk memesan kopi., disaat lg bnr2 butih kafeinğŸ˜…ğŸ˜;Positif
ista darra rizqi;5;14/05/2024 13:07;Enak banget;Positif
Netty Pratiwi;5;14/05/2024 12:50;Mantap kopinya;Positif
Raisiska Chika;5;14/05/2024 12:38;Kopi kesukaan;Positif
Arsyad Jaya;5;14/05/2024 12:19;Mantap Mentong;Positif
Poltak Sihombing;5;14/05/2024 11:50;Rasa kopinya maknyus...ğŸ‘ğŸ‘Œ;Positif
Fiman Bakri;5;14/05/2024 11:46;Mantap;Positif
Chandra RY;5;14/05/2024 11:34;Mantap;Positif
Ricky wibawa;5;14/05/2024 11:14;Bagus;Positif
chanel abdii;5;14/05/2024 10:59;Good;Positif
Tari neh;5;14/05/2024 10:38;Paling suka kopi kenangan mantan pas di kopinya susu nya gulanyan... Apalgi belinpake diskon senang sekali;Positif
Alfirda Untsa;5;14/05/2024 09:33;Banyak diskon kalau order di aplikasinya langsung, cuma sayangnya Drivenya gk gratis ongkir;Positif
Mutharudin;5;14/05/2024 07:50;Bagus;Positif
Dwi Heryanto;5;13/05/2024 21:15;Mantap;Positif
Mita ap2;5;13/05/2024 21:00;Suka bnget beli kopi pake aplikasi bnyak promonya juga , pa lagi klo pake BRI;Positif
Doni Crush;5;13/05/2024 16:49;Sangat membantu sekali untuk menghindari antrian aplikasi nya juga bagus dan gampang di pahamiğŸ‘;Positif
denise vikena;5;13/05/2024 12:38;kopi favorit;Positif
Aeni Latifah;5;13/05/2024 11:26;The best;Positif
Riko ciko;5;13/05/2024 11:06;good ramah orang2nya;Positif
indri arifia;5;13/05/2024 10:01;Sangat baik;Positif
Arie Uzan;5;13/05/2024 08:27;oke juga..;Positif
Wicha 3;5;12/05/2024 19:12;Ok;Positif
Dede Ahmad Supratman;5;12/05/2024 16:02;Suka dgn apk ini bisa pesen lewat apk dan akses juga di tempat;Positif
Martina Ayu;4;12/05/2024 15:47;Berguna sekali buat penggemar kopi;Positif
Monikabella Safira;5;12/05/2024 12:31;Bagus bangedddd;Positif
Dede Subarkah;5;12/05/2024 10:28;Tidak meragukan Sesuai orderan;Positif
Nofli Nofli;5;11/05/2024 22:26;Mantapp Memuaskan dan menakjubkan membantu sekali menghilangkan haawa napsu hausnyo;Positif
Teti Suminar;5;11/05/2024 21:05;Selalu suka sama all variant di kopi kenangan;Positif
Fithri Yah;5;11/05/2024 20:26;Suka banget sama produknya kopi kenangan;Positif
Lalita Wangsa;5;11/05/2024 18:37;Kopi enak terjangkau, banyak outlet dan suka sering diskon;Positif
Siti Rachmawati;5;11/05/2024 16:22;Favorit Choco hazelnut nya;Positif
Lanang Dwi Putranto;5;11/05/2024 11:41;Cocok banget buat perjalanan, outlet banyak rasanya pas;Positif
Koti Hunter;5;11/05/2024 10:41;Enak, dan service cepat;Positif
Arista Suryani;5;11/05/2024 10:29;Kalo yg suka kopinya gak strong2 bgt bisa kesini yaa, asli apa lagii yg gak kuat sama asam lambung karena kopi, bisa joint ke kopi kenangan ğŸ˜ğŸ˜˜;Positif
Laser 20;5;11/05/2024 09:50;Mantap;Positif
Christine Amelya;5;11/05/2024 09:28;Dpt diskon byk;Positif
Dimas Afid;3;11/05/2024 01:04;Sering beli di outlet manapun staff nya ramah tapi point aplikasi kok dari kemarin tgl 9 mei ga pernah masuk tolong dong perbaiki;Positif
Ani Ely;5;10/05/2024 21:00;Aplikasinya nyaman dan mudah aksesnya, untuk kopinya selalu tidak diragukan, enak sekali. Pertahankan ya min. Dan banyakin diskon2nya hehe;Positif
Novia 14;4;10/05/2024 18:31;Sangat membantu dan lebih mudah untuk order;Positif
donts worry;5;10/05/2024 18:22;Keren;Positif
Muhammad Wahyudi;5;10/05/2024 16:57;Semoga membantu produk lokal;Positif
bengkel lozi;5;10/05/2024 16:24;Mantap pokoknya;Positif
Satrio Muhammad;5;10/05/2024 16:16;Aplikasi yg bagus dan mudah di gunakan;Positif
onyxchandra;5;10/05/2024 14:10;Bagus;Positif
Heinjthe Supit;5;10/05/2024 13:28;Sering sering kasi promo ya min, terutama ke akun saya wkwkwkwkğŸ¤£ğŸ™;Positif
ahmad mulia lubis;5;10/05/2024 10:11;Lumayan;Positif
Erlin Treysniawati;5;10/05/2024 08:49;Good job bro;Positif
rayan vathy;5;10/05/2024 08:38;Best coffee of my life.;Positif
Mey Meilinda;5;09/05/2024 21:19;Kopi langganan ketika LG me time and ngerjain kerjaan buanyak;Positif
Elfri Handaya;5;09/05/2024 19:37;Very goodğŸ‘;Positif
Alfian Harits;5;09/05/2024 18:50;Suka beli kopi di sini;Positif
alif rizaq;5;09/05/2024 18:15;Seru banget banyak diskon dan promo.;Positif
Roiyani Simangunsong;5;09/05/2024 17:35;Kopi susu terenak;Positif
kurniawan perkasa;5;09/05/2024 16:18;Good Job;Positif
Basuki Rahmad;5;09/05/2024 16:16;Good, jd gampang kl mau pesen ini pesen itu;Positif
Farid H Mohammad;5;09/05/2024 15:15;Sangat membantu, perbanyak promo berkalanya;Positif
Wulan Ayuningtyas;5;09/05/2024 14:02;Kerennn;Positif
Magdalena Febriyanti;5;09/05/2024 13:11;Pelayanannya ramah;Positif
Dian Fidianingsih;5;09/05/2024 12:48;Aplikasinya bagus, banyak info, penggunaan aplikasi jg mudah, bisa dpt promo juga;Positif
ecko tamatech;5;09/05/2024 08:41;Mantap;Positif
Famel Famelet;5;09/05/2024 06:04;Kopi kenangan mantan jossss Enaknya ngga ada lawan;Positif
Geri Saputra;5;08/05/2024 21:05;Kopi nikmat ini, apalagi kalo diminum saat ingat mantan ğŸ¤£ğŸ¤£ğŸ¤£;Positif
Muhammad Sofiandi;5;08/05/2024 20:45;Mantappp kopinyaa Enak bangett kerasa Kopi Asli;Positif
Yudha Deswantyastama;5;08/05/2024 20:42;Profesional;Positif
Pandu Weda Swara;5;08/05/2024 12:53;Kopinya enak sih;Positif
BRYAN ADI PRIYAMBODO;5;08/05/2024 09:05;Oke lah.. Bisa utk darurat kebutuhan ngopi;Positif
miranti mubaraqah;5;08/05/2024 07:31;Kopi nya enak, bisa santai sambil kerja.;Positif
abu kompor;5;07/05/2024 20:36;Keren kopinya mantap;Positif
Denny Sitorus;5;07/05/2024 17:57;Kopi kenangan adalah kopi yg enak tp dengan harga yg terjangkau dan sering mengadakan promo yg sangat membantu para pembelinya...;Positif
syarif khodon;5;07/05/2024 17:31;Good;Positif
Tetty Ervina;5;07/05/2024 14:58;Nice;Positif
Lia Kusuma Indhiarti;5;07/05/2024 13:15;Dengan aplikasi ini jadi Makin mudah pesan kopi kenangan nya... Sukses selalu..;Positif
Septian Wijayanto;5;07/05/2024 11:33;membantu dalam melihat promo dan memesan tanpa harus dtg ke toko terlebih dahulu;Positif
Tawasena Book Store;5;07/05/2024 11:20;Terima kasih untuk tiap promonyağŸ«¶ğŸ»;Positif
Antonius Samosir;5;07/05/2024 09:28;No komen, terbaik lah;Positif
Fiki Amiruddin;5;06/05/2024 19:30;Best;Positif
beby putri;5;06/05/2024 18:59;Kopi langganan ku,harga terjangkau tapi enak;Positif
Harumi Kayo;4;06/05/2024 16:36;Sejauh ini aman dan menyenangkan.;Positif
Heru W Laksono (heruWL);5;06/05/2024 13:59;Awesome;Positif
Stefany;5;06/05/2024 13:33;Bagus;Positif
Suganda Salsabila;5;06/05/2024 13:21;bagus banget, enak banget;Positif
Alfiana Perbawa;5;06/05/2024 11:17;Selalu pesen pake aplikasi ğŸ¥°;Positif
Gloria TPS;5;06/05/2024 09:17;Kopinya enak banget;Positif
Farizal Rizal;5;05/05/2024 23:35;Best kopi gula aren freezi;Positif
Fajar Mujib;5;05/05/2024 22:11;mantapp cukup puas;Positif
Agus Hidayat;5;05/05/2024 18:26;Pelayananya sangan memuaskan;Positif
nur aini;5;05/05/2024 17:32;Puasama pelayanan nya;Positif
Adytia Darmansyah;5;05/05/2024 15:23;Easy to use dan bebas antrian;Positif
Rita Herawati;5;05/05/2024 14:05;Suka rasa kopinya;Positif
Maya Riana;5;05/05/2024 12:35;Kopinya enak..ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘;Positif
Abdullah Adam R;5;05/05/2024 11:01;Sangat membantu dengan promo2nya, buat yang suka sama kopinya wajib download appnya;Positif
enal arsyad;5;05/05/2024 09:38;Aplikasi simpel dan mudah digunakan dengan bayak promonya;Positif
Dekky Kusumaatmadja;5;05/05/2024 09:12;Wes kopine enak , akrh promo;Positif
Laelatul Sani;3;05/05/2024 08:21;dari awal download belum pernah digunakan, karena outlet yang deket rumah (spbu meruya) tidak tersedia. ayo lengkapin lagi outletnya, sayang bgt ini voucher ga bisa dipakai.;Positif
Yeni Orita;5;05/05/2024 00:15;Semenjak tau kopi kenangan makin kesini makin ketagihan GK BS lepas udh candu;Positif
Kartika Wati;5;04/05/2024 20:17;Enak tp kalo bisa banyakin promonya ya;Positif
puji lestari;5;04/05/2024 12:27;Berjalan dengan baik antara aplikasi dan outlet offline;Positif
catra purama;5;04/05/2024 12:25;Gak ada lawan;Positif
Sopian Permana Putra;5;04/05/2024 11:10;ğŸ‘ğŸ»;Netral
ari sobari;5;04/05/2024 10:46;Kaga ngebosenin kopinya, apa lagi kopi kenangan mantan, mantap;Positif
Rosi Jayanti;5;04/05/2024 08:48;easy use and helpful;Positif
Dewi Kahiyang;4;03/05/2024 20:31;Bagus...banyak promo dan cepet ...;Positif
Indah Medista;5;03/05/2024 17:50;Aplikasi memudahkan order pelanggan;Positif
Nia Rosniawati;4;03/05/2024 14:32;Diskon buat aplikasi tolong diperbanyak lg yaa;Positif
Cheppy Rayes;5;03/05/2024 13:21;Mantab, kalo pesen selalu pake apps ini. ğŸ™‚ğŸ‘ğŸ½;Positif
LINGGA PRIODILA;5;03/05/2024 12:30;Mantul;Positif
febrianti Bian;5;03/05/2024 11:08;banyakin lagi dong promonya;Positif
Mellisa Sylvia;5;03/05/2024 10:59;Bestt;Positif
Widita Ss;5;03/05/2024 08:30;Selalu suka dan pesan kopi kenangan mantan CEO ... Ter the best laah....ğŸ‘ğŸ‘ğŸ‘;Positif
Tjut Anisa;5;02/05/2024 15:23;Keren aja beli kopi yg banyak promonya,asli Indonesia dan aplikasinya oke gini;Positif
Rizka Muluddini;5;02/05/2024 15:01;Good;Positif
Hilya Almira;5;02/05/2024 14:55;Sangat membantu;Positif
gee rii;2;02/05/2024 13:14;seneng ngumpulin poin, tapi kenapa ya sering ga muncul tempat check in-nya? udah buku tutup tab, tapi tetap ngga muncul. jadi ga semangat buka aplikasi kopken karena malah jadi bikin badmood.;Negatif
Helen Fransisca Pasaribu;5;02/05/2024 12:59;Good;Positif
Saif 16;1;02/05/2024 11:09;Gw order via gofood dari sumarecon bandung ke jl gedebage selatan lama bener hampir 1 jam lebih padahal jaraknya cuma 5 menit;Negatif
Septian Effendi;5;02/05/2024 10:07;Mantap;Positif
Amelia Dwi Rosiana;5;02/05/2024 08:00;Banyak promo produk dan ongkir, plus dapat poin untuk pembelian selanjutnya..;Positif
Bayou Mavi;5;01/05/2024 21:33;Disc dan promo nya di tingkat kan;Positif
Ramah Sekali;5;01/05/2024 20:30;Sangat membantu;Positif
Dian Msa;5;01/05/2024 20:19;â™¥ï¸â™¥ï¸â™¥ï¸â™¥ï¸;Netral
Adrian Wicaksana;4;01/05/2024 19:30;Maintain terus, udah bagus;Positif
Nona Neni;5;01/05/2024 18:35;Suka banget sama kopi gula aren nya alias kenangan mantan, d'best pisan.. rasa nya pas ga bikin mual juga.. outlet nya banyak, banyak promo nya jg, pokonya tiada hari tanpa kopi kenangan;Positif
linda faisal;5;01/05/2024 18:23;Puas dengan updatebyg ada;Positif
Sarah Febriaritta;5;01/05/2024 17:33;Mempermudah pemesanan banget di era yg serba digital ğŸ‘ğŸ»;Positif
Vovi Mama Atha;5;01/05/2024 16:32;Mudah di gunakan banyak promo menarik;Positif
RUDY GUNAWAN;5;01/05/2024 15:18;Banyak promo kalo pakai aplikasi kopi kenangan;Positif
Raditya Fajar;5;01/05/2024 14:23;Design aplikasinya mudah dipahami;Positif
ridho priatna;5;01/05/2024 14:02;aplikasi yang memudahkan & nyaman untuk memesan kopi kenangan;Positif
Irwan Keyla;5;01/05/2024 13:37;Masih konsisten dgn rasa;Positif
Amiruddin Fitri;5;01/05/2024 12:50;Good job, masih favorit saya;Positif
RASYA GAMING YT;5;01/05/2024 12:03;Sukaa banget sama rasa kopinya;Positif
Alvin Vin;5;01/05/2024 11:43;Enak rama gercep;Positif
imaa wijaya;5;01/05/2024 10:31;Nice;Positif
neneng muslimah;5;01/05/2024 10:04;Keren;Positif
Ilham Darmawan;5;01/05/2024 09:42;Terbaik;Positif
bayu dono;5;01/05/2024 09:33;aplikasi menolong dan kasih promo bagi pelanggan;Positif
Yuni Sintawati;5;01/05/2024 09:18;Enak;Positif
Tenny Cynthia Sartika;5;01/05/2024 08:34;suka bangeeettt. sangat memudahkan dlm pemesanan. tdk perlu antri, cukup buka aplikasi kemudian pilih menu yg mau kita pesan. sukses selalu â¤ï¸ğŸ¤;Positif
rudianto seng;5;01/05/2024 07:50;Kopinya enak selalu mantap;Positif
Abu Raiend;5;01/05/2024 07:29;bagus banget;Positif
Eka Yosida;5;01/05/2024 07:15;Bagus banget aplikasinya, sangat membantu, lumayan banyak promo, sayang variant pembayarannya masih kurang, link aja belum ada,makin dilengkapin sih merchant buat bayar onlinenya, oh iya untuk dine in, banyak meja yang ga ada barcodenya, tiap outlet beda beda, ini juga bisa diseragamin, makin banyak barcode buat pesen tanpa harus ke kasir, tinggal ambil aja pesenannya.;Positif
Salmon Lumban gaol;5;30/04/2024 18:29;mantap;Positif
arif abdullah;5;30/04/2024 16:38;Tidak bisa beralih dari kopi kenangan mantan;Positif
Betri Avoni (Mama Voni);5;29/04/2024 20:52;Mantappp.sering dapat promo;Positif
Gian Widayoko;5;29/04/2024 20:36;MemuaskanğŸ‘ğŸ»;Positif
Muhammad Faris Gaffar;1;29/04/2024 19:49;Lemot respon lama;Negatif
Dhini Hidayati;5;29/04/2024 18:39;Suka banget, banyak promo;Positif
Miss Joolie;5;29/04/2024 18:33;Mudah digunakan,banyak promo,cepat dan sesuai harapan;Positif
Ferry Phoa;5;29/04/2024 15:23;ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘;Netral
